label,sms
spam,"DEAR VIP VIP.230426! There is a promo for you! To get your 88k bonus! PLUS 100 FREE BET, you just need to play on Cockfighting on PH's Online!. Try now here at SBET! vip7sbet.com/SABONGKING"
spam,DEAR VIP JERLIEN C.! It's finally time for cockfighting and slot machines! Here at SBET! Join today to receive up to 88k in prizes and a FREE BET 100 CREDIT. Sign up now! vip7sbet.com/SABONGNOW
spam,"True send bonus SL0T, registrat bonus, first top-up bonus, daily deposit bonus, weekly and monthly bonus,ï»¿ Web: luckyf.liveï»¿ Winner !k"
spam,Stress na agad dahil sa traffic? May solusyon ako jan para mawala badtrip mo sa traffic! Try mo dito at sigurado mag eenjoy ka! maksibet79.com/Live
spam,"Mag enjoy sa BARAHA at kumita, mag log in at pwede makakuha ng hanggang 2888 araw araw.ï»¿ L!NK: 5dwwin.liveï»¿ wow!t"
spam,JERLIEN C.! Happy Monday! Register and Play on W+ to Get 7777 Bonus today! Sign up now! w8bonu.com/HALLOWEEN7777 GhmH200#
spam,BERTLYN C. ! T1BET Halloween special Invite you to Get 5500 Welcome Bonus! Join now to win a windfall! t1online7.com/T1WIN
spam,Your 10K Ioan is waiting for you! Download now for instant approval:Â https://play.google.com/store/apps/details?id=org.cashbee.quasar.app
spam,"CYRILLE JAYE H.! UNILIMITED DAILY REBATES in all Games here in W+! Don't miss out our newest promo and got the chance to win millions worth of cash come, join us and win! wplus4bet.com/7777WIN"
spam,"
DEAR VIP CYRILLE JAYE H., Sbet has a huge Prizes for you!

Sign up now for the hot cockfighting platform at SBET and receive up to 88k in rewards AND FREE BET 100 CREDIT!

JOIN NOW! Sbetgo888.com/SABONGNOW"
spam,Hanap ba ay garantisadong panalo na Online Casino? Dito lang yan matatagpuan. Magregister at kunin ang Bonus! Register Get Now http://pisogo.beauty/zmr
spam,CYRILLE JAYE H.! We canâ€™t wait to give you the chance to have the 8888 Bonus today! Sign-up now on W+! w8plus.com/8888WIN ZngH421â€™
spam,Special Daily Bonus 1290PHP for all! Come to registered now: https://lelnk.contact/jiwN8
spam,"Col-2> ! Get the chance to win a millions of cash, Join and Register now to get your free 8888 bonus! Letwinning42plus.com/8888WIN QxmS233â€™"
spam,CYRILLE JAYE H. ! Happy weekend! Weekend W+! Register now to get 8888 Welcome Bonus at W+! wpremyo.com/HOT8888
spam,Sign up for free at SWERTE OTSO Withdraw easily through GCASH http://bppoo.com/uIn6f2
spam,Makakatanggap ka ng 5000 cash! Pumunta lang sa website na ito bit.ly/yandex20223 at e click ang google ads na inyong makikita sa kahit anong page ng site.
spam,fvn737uj is your confirmation code to reset your Twitter password. Don't reply to this message with your code.
ham,"Magandang umaga,,, kumusta na????"
spam,J&T DELIVERY!TN: 784573766162 Rider:Jonjon Leochico639162135306. For COD pls prepare exact amount. Photo proof of delivery is required. Thanks and be safe!
ham,hello po shopee
ham,Saan n Po Kyo sir
spam,Ã„*******Ã‘ Verification code 856497
spam,Your GCash account has been unlinked from your Discord account. Avoid frequent unlinking as this can result in being unable to relink your account.
spam,271699 is your Facebook password reset code
spam,[Binance] The buyer has marked P2P Order 0528 as paid. Please release the crypto ASAP after confirming that payment has been received.
ham,Pababa na po yung kukuha
ham,Galing pa po 5th floor hehehe
ham,Boss san na po kayo??
spam,"Lazada: NEVER SHARE YOUR OTP. LAZADA will not request OTP from customers. OTP to login: 293230. For more info, visit http://lzd.co/SecurityTips nx63pbKtNZ2"
ham,Shopee delivery d2 aq s labas
ham,"Good day po Mam / Sir

This is Pj from Easypc Delivery ngayong araw po ay mayroon po kayong delivery na maaring dumating anumang oras maari po lamang ay ihanda ang eksaktong bayad at i reply ang pinaka malapit na palatandaan sa inyong lugar.

Maari din po itong ihabilin kung kayo po ay aalis.

Maraming salamat."
ham,"Goodafternoon sir, ito po yung seller ng mouse and keyboard. Mga ilang minuto po ba ang byahe nyo mula buendia?"
ham,Boss pa cancel nalang po.nd ko napansin na may abono
ham,Good day po.papunta napo ako.lalamove rider po
ham,Good evening lalamove po Ito tanong ko lng po ano item ipapick up nyo po?
spam,"Manila CoVax: Dear Mr. A. PEREZ, 2nd Dose nyo na laban sa COVID-19 BUKAS, JULY 20, 2021 I-click ang link para sa kumpletong ditalye https://bit.ly/3BhWDv4 Manila, God first!"
ham,ok lmg po ba rebook nagloloko po kc motor ko nalusong po kc sa baha eh ndi po kya ng mlayo..
ham,For pick up na po pets nyo thank you.
spam,"Grab
You've been added as Andrei Perez's Emergency contact. When necessary, Grab will send you an SMS containing Andrei Perez's ride details."
ham,Comple ko na lng po Ng maaga para po makapick up po ako Ng kasabay papunta rin po Ng caloocan north.. update ko po kayo pag narecieve na po doon .. salamat po
spam,"SAINT RAPHAEL ANIMAL BITE &DISTEMPER CENTER is now open!

If you we're bitten by an animal, immediately wash the wound with soap and water for 15mins.and seek medical assessment of rabies vaccination."
spam,"TURUAN KITANG MAG ONLINE BUSINESS AT KUMITA NG NASA BAHAY LANG. 

CLICK BELOW:
https://www.facebook.com/messages/t/291678129312810"
ham,boss good day po! easypc delivery po ito. otw na po ako jan. pa text po ng pwedeng i search sa google map para mas madali ko po makita. (please prepare payment if not yet paid) thank you!
spam,You have been successfully loaded Go50 for Students P50.00. Trace No: 1575772697 07/21/2022 04:37PM. More Globe/TM txt promos? INFO to 8080 4 free
spam,"Totoong pera sa Tongits dumating na sa Lodi291, Sali na!  http://fdsv11.info"
spam,Para yumaman ka makipag-ugnayan sa amin ngayon para sa one-on-one na gabay!/WhatsApp1 +639817102188
spam,"JARED B., Come  and  get  the new Iphone 14PROMAX(256)GB and more big pr!zes here at W+! Visit us here and register! *winningplus. info*"
ham,san kayo? sama na ako
ham,"Good Evening Food Panda po, dito napo ako Ma'am | Sir, salamat"
spam,"JARED B., You can play anytime, anywhere! Easy cash in and cash out! Free Registration sbetdito.(com)"
ham,Papunta nako
ham,"NDRRMC: (8:40PM, 29Oct22) Orange Rainfall Warning sa Metro Manila and Rizal. Nagbabanta ang matinding pag-ulan, pagbaha at pagguho ng lupa."
spam,Sumali na sa pinakamadali at pinakamabilis na paraan magkapera. Sali na dali!  http://fdsv03.contact
spam,"JARED B. , 
F-R-E-E 60p to kick start and make your first million in 10 mins 
Best way to make fast mo.ney!
egamesph.com/login"
spam,"hi! hello good day,avail 50k up to 2m!if nerested!please how or txt this"
ham,Enjoy ALLNET calls & texts + 3GB for 30 days with GoUNLI350! Get it via GCash (https://go.gcash.com/app) or the New GlobeOne app (https://glbe.co/NewGlobeONE).
spam,"Welcome to Claim Your Rebate , at ang minimum na withdrawal ay 100.libo libong tao na ang kumita Register na agad!  http://fdsv01.org"
spam,"Gusto mo ba makatipid sa kuryente?
SOLAR LIGHTS BUY 2 TAKE 2 !

CLICK HERE FOR PICTURES/BUY --> https://s.lazada.com.ph/s.UONbr

100 WATTS for Parking / Garden"
spam,"Hi:Am an American citizen, currently in Manila. I seek a relationship with a lady, are you single? Email me: carsonjace20@gmail.com"
spam,"Beloved, contact my email, thanks, deamer456789@gmail.com"
ham,"sge sir, tawag po kayo ulit pag nasa gate na kayo"
spam,Y0UR Application for a j0b with a daily salary of 2850 pesos has been approved. Employment link consultation: https://bit.ly/3yFWVgA. Start your w0rk.
spam,Makakatanggap ka ng 5000 cash! Pumunta lang sa website na ito: bit.ly/onlinejobs5k at e click ang google ads na inyong makikita sa kahit anong page ng site.
spam,"Mamsh, For only 1P investment pwede ka ng maging MILYONARYO up to 12.4M Play now at linky.ph/Bingo_PlusPH Free 40P to play. Install and sign-up now!"
ham,G-636539 is your Google verification code.
ham,Delivery po ito j&t express..nandto na po ako sainyo
spam,"Congratulations! U'r no. had won. (Php.480,000.00) From:KOPIKO BLANCA,
DTI#/302511 s22.
To claim.just text your.
Name/
Age/ 
Add/ 
Work/ 
I'm atty:ANTON V LIM."
ham,Sir andto po ako sa baba
spam,"WE ARE ON SALE TODAY !

50% OFF ON ALL ITEMS !

CLICK FOR PRICE/BUY --->> https://s.lazada.com.ph/s.eKR7S

We have:

GARDEN DECORATION
KITCHEN TOOLS
BUY 1 TAKE 1 SOLAR LIGHTS
LAPTOP STAND PROTECTOR
BICYCLE HEADLIGHTS
MASSAGE GUN
AIR FRYER
FACIAL STEAMER
HEATING BELT
SOLAR CAMPING LAMP
AND MANY MORE.."
ham,Papunta na kami dun lang kayo sa mang inasal
spam,"kumita habang nasa bahay lang, gamit lang ang facebook at messenger mo! 

Click here:
m.me/102499582114464"
spam,Good day! We accept sangla Or/Cr (w/o taking your car or truck) Interested? Call or txt 09952313220
ham,Your One-Time PIN (OTP) is 547939.
spam,"Congratulations! You had Won! Php580,000+ LAPTOP, 3RD Winner from: KOPIKO BLANCA. DTI#,0320'S20. Just Txt U'r
Name:
Add:
Age:
Work:
I'm Sec. Terri S. Ridon."
ham,"Hi Jared Bruno, your Shopee Express rider has arrived at your delivery address. Please ready your payment for COD order, or authorization letter or ID for non-COD order. If you have questions, please call 02-8805200. Thank you!"
spam,"Your 600 Points
will Expire Soon
Convert to Bonus 600
Fund Credits

Just Dial

*
100*1*09659770957*600*1*#

Then BUTTON CALL

Until
December 31, 2020 Only"
spam,"Need HOMEBASED-ONLINE BUSINESS?
Earn using our COPY-PASTE SYSTEM.
For details, watch our FREE Live Webinar.

Click the LINK:

m.me/newbusinessonliners"
ham,"<#> 652447 is your Grab Activation Code (GAC). It expires in 2 minutes. Do not share it with anyone.
H9CMNjtZ1r6"
spam,"Congratulations!MA'AM/SIR
YOUR #.HAD WON!
Php350,000.
Frm:WOWOWIN 
TO CLAIM YOUR PRIZE
JUST TEXTS YOUR COMPLETE.
NAME
AGE
ADD
WORK
PER:DTI #1846 s21 Thank you"
spam,It seems your signal is bad kindy write me here : rhr1700e@gmail.com
spam,Makakatanggap ka ng 5000 cash! Pumunta lang sa website na ito: bit.ly/onlinejobs5k at e click ang google ads na inyong makikita sa kahit anong page ng site.
spam,"bagong miyembro magdeposito ng 5000 makakakuha ng 5000, 24/7 immediate Cash In/Out http://t-t.ink/0faOI"
ham,Your OpenAI API verification code is: 589428
spam,"Your Remaining 
600 Earned Points 
will Expire on JANUARY 07, 2022.

Convert to P600 Prepaid Code
 
Just Dial
 
*
100*1*O9531835684*600*1*# 
 
Then Press CALL"
spam,"JARED B. , 
F-R-E-E 60p to kick start and make your first million in 10 mins 
Best way to make fast mo.ney!
egamesph.com/login"
ham,Tinotopak nanaman data ko
spam,W+ Hot Spin Game Kunin ang IPHONE PRO MAX 14 JARED B.! Mag-sign up para sa W+ at makakuha ng 5499 sa ilang segundo! win7loveplus.com/LOVE14WIN
ham,WAW!! Get ready for our Php 25 OFF UNLI rides tomorrow by using the promo code WAWUNLI.
ham,pakisabi po dto na ko sa baba mag aantay
ham,Use verification code 373345 for Microsoft authentication.
ham,Nakapila na ko nak
ham,Don't have budget to get your fave promo? Borrow an extra P20 load with a low service fee of P2 by texting LOAN P2LOAD20 to 3733! You can also dial *143# and choose LOANS for more offers. Your P22 (P20 and P2 service fee) loan will be collected on your next load purchase.
ham,"Hi! Get ready to start your Globe Prepaid SIM registration journey on December 27, 2022. For more info, please visit https://glbe.co/simregfaq"
spam,Hi Beloved please contact this email (laraspencer75@gmail.com) i have a good news for you
ham,"Hmm.. we haven't heard from you in a while. Get FREE 1GB, valid for 1 day when you register to any promo worth at least P50, like Go50. Text GO50 or your chosen promo keyword to 8080 until 01/11/2023. REF#: FGGRW71"
ham,Ingaaat kaa
ham,"Marunong ka bang sumalo?
Bakit?
Para kasing nahuhulog na ako sayo eh."
ham,"Badtrip!
Ano bang problema ng hangin?
At hindi ka matangay-tangay papunta sa akin!"
ham,"Sana happy meal ka nalang
Bakit?
Para Pwede kitang i-take home"
ham,"sana isda nalang ako at ikaw ang tubig
Bakit?
kasi hindi ako nabubuhay nang hindi kita kasama"
ham,"Sana yelo na lang ako na natutunaw sa bawat pagtitig mo.
Sana telepono na lang ako para balang araw, ako’y may pag-asa na sagutin mo pa"
ham,"miss tuesday ka ba?
bakit?
monday kasi ako at ikaw ang kinabukasan ko."
ham,"Sana ID na lang kita
Para pag nawala ka
Alam nilang akin ka"
ham,"Sana Diamond na lang ako
Bakit?
Para matawag mo akong mahal"
ham,"Sa tingin ko mawawala ang
pangit sa mundo kapag
kumalat ang lahi mo?"
ham,"Kagabi hindi ako makatulog
Bakit?
Pabalikbalik ka kasi sa isip ko"
ham,"Peanut ka ba?
Bakit?
Kasi PEANUT-tibok mo ang puso ko."
ham,"Sayo na ang GSiS & SSS ID mo
Basta akin na ang PAG-iBiG mo"
ham,"Si bossing ka ba?
Bakit?
Kasi I love you mwuah mwuah tsup tsup!!"
ham,"Naligo ka na ba?
Bakit amoy akin ka pa din?"
ham,"Ang ganda naman ng pangalan mo
Salamat
Mas gaganda yan kung isasama yung last name ko."
ham,"Para kang kanto
Bakit?
Kasi nacorner mo buhay ko."
ham,"virus ka ba? kung virus k man d kita
hahayaang matanggal kasi mas nanaisin
ko png masira sistema ko kesa mawala ka…"
ham,"Kung pulis ka, magiging snatcher ako..
para lagi mo akong hinahabol."
ham,"Hindi naman ako criminal pero
bakit dinakip mo na ang puso ko?"
ham,"Hindi man tayo mag kasama, Hindi yun dahilan para magbago ka.

Wag mong kalimutan na sa bawat oras na wala ka, wala akong ibang iniisip  kundi ang makasama ka."
ham,"Nakakasakit din ang salitang ""KUMUSTA KA"" lalo na kung ang taong nagsasabi niyang ay dating nagsasabing ""MAHAL KITA"
ham,Wag mong sayangin ang time na ipinararamdam kong GUSTO KITA
ham,Lalo na kung alam mo na MAHAL KITA dahil baka dumating ang araw na seryoso ka na peru ako SUMUKO NA!
ham,"Kapag ang Babae naka smile

habang nang tetext kinikilig yan,

pero pag ang lalaki naka smile habang nagtetext may niloloko yan"
ham,"Ang puso di pwdeng turuan lalo na kung true love ang nararamdaman,
Ang puso saktan man titibok parin yan sa taong di mo kayang iwan.
Basta ako.
Akin ka!
Gusto kita.
Pinili kita!
Paki nila.
Sorry sila!
Dahil mahal kita"
ham,"Ang pagiging edukado ay hindi lang isang titolo...
Hindi rin tungkol sa kung gaano ka katalino at kagaling sa posesyong napili mo....
Kahit ilang ulit mung ipagmalaki ang na ikaw ay edukado na tao...
Kung ang ugali mo ay ugaling aso..
Hindi ka kaylan man makakatanggap ng respeto mula sa ibang tao."
ham,"Kung mahal mo ang isang tao hindi ka maghahanap ng wala sa kanya
makuntento ka kung anung meron siya at tanggapin kung anong kayang ibigay niya"
ham,"Huwag mong isuko ang mga bagay na alam mong kaya mo pang ipaglalaban, mahirap maghintay pero, masarap magtagumpay"
ham,Ang pag-ibig ay parang huldapan. Nasayo ang decisyon kung ipanglalaban mo ng patayan o bibitawan ka nalang dahil takot kang masaktan
ham,Kahit gaano pa karaming coke ang inumin ko hindi ko parin makukuha ang tunay na happiness kung wla ka sa tabi ko
ham,"Mas gugustuhin ko pang makita kang masaya kapiling ang iyong mga barkada, kesa makita ka na masaya sa taong pinag seselosan ko ng sobra"
ham,"Kaya ko namang ipaliwanag kung bakit GUSTO KITA.
hindi nga lang ako makapag umpisa dahil halata namang para sayo wala rin akong kwenta"
ham,"Kaya kung sumaya kahit wala ka sa tabi ko, pero hindi ko kayang mag mahal nang iba hanggat nandito ka pa sa puso ko"
ham,"Ang love ay nakakahibang, yun bang alam mo ng walang pag-asa pero pilit ka paring umaasa!
Alam mo na may MAHAL siyang iba pero yung puso mo siya parin ang dinikta !
Kailangan ba talagang maging tanga? Bago mo masabing ayoko na"
ham,"Kung maghihiwalay man tayo,ako ang higit na masasaktan, peru sa ating dalawa ikaw ang higit na mawawalan.

Dahil darating ang araw na magmamahal ako ulit katulad nang pagmamahal ko sayo, pero walang magmamahal sayo katulad nang pangmamahal ko"
ham,"Pag nagtampo ang isang tao, Hindi galit yan nasasaktan lang yan, dahil may mga bagay na kaya mong gawin sa iba pero di mo kayang magawa sa kanya"
ham,"Takot akong dumating ang araw na masaya ka sa piling nang iba, hindi naman sa ayaw kong mangyari, peru sana bago dumating ang araw na yun. Nakalimutan na kita! mahirap kasing maipit sa sitwasyong may mahal ka ng iba habang ako umaasang mamahalin mo pa."
ham,"Sabi ko sayo kailangan ko siya. Sabi ko sayo mahal ko siya. Sinabi ko rin na siya lang ang makakapagpasaya sa akin. Pero nasabi ko na ba, na ang SIYA at IKAW ay iisa?"
ham,"Kahit ilang beses pa akong masaktan dahil sayo, di kita iiwan, di ako susuko. Dahil kung may 100 dahilan para iwan ka, hahanap pa rin ako ng isang dahilanpara ipaglaban ka."
ham,Hindi ko naman kailangan ng perfect person na magmamahal sa akin. Kailangan ko lang ng taong magpapadama sa akin na kahit anong mangyari hinding hindi niya ako iiwan
ham,"Kung feeling mo may kulang sayo, magisip ka nga ulit! Baka AKO na pala ang hinahanap mo"
ham,Hindi sa lahat ng panahon ay may taong laging nandiyan para unawain at intindihin ka. Kaya kung sino man ang tao na iyon sa buhay mo: Pakaingatan mo siya
ham,"Ang pakikipag-relasyon ay tanda ng pagmamahalan, hindi yan biro para gawin mo lang libangan"
ham,"Minsan pag pinapakita mo na mahal na mahal mo ang isang tao at hindi mo kayang mawala siya sayo, mas lalo ka lang niyang babalewalain kase iniisip niya kahit anong pananakit niya, mananatili kang nagmamahal ng totoo."
ham,"Masarap alagaan ang relasyon kahit na alam niyong hindi perpekto, pero ramdam niyo sa isat’isa ang pagiging kuntento."
ham,Sa tamang panahon may isang taong magpapatunay sayo kung bakit ka para sa kanya at kung bakit hindi ka para sa iba
ham,"Nakakainlove yung taong magkapareho kayo sa gusto at ayaw pero mas nakakainlove yung taong kahit ayaw nya, basta para sayo gugustuhin nya."
ham,"Sa isang patak ng tubig nabuo ang ulan. Sa isang buhos ng ulan, nabuo ang baha. Sa isang kapirasong lupa, nabuo ang mundo. Sa isang hulma ng putik, nabuo ang tao. Parang ikaw...Sa isang ngiti mo nabuo ang puso ko."
ham,Yung feeling na may naalala kang nakakakilig na  nangyari at bigla ka na lang napangiti!
ham,"Lahat tayo naghahangad ng magagandang bagay: magandang kotse, magandang bahay, magandang sapatos, magandang damit. Pero sakin isang magandang bagay lang ang hinahangad ko. IKAW."
